file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/Runner.java,Runner,class,5,5,0,5,1,1,0,6,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,0,0,4,0,0,9,8,0,0,0,0,0,30,24,3,0,4,0,0,0,0,16,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,class,5,15,10,5,11,2,0,6,15,0.6363637,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,2,0,0,43,6,0,0,0,0,0,1,7,1,3,0,0,0,0,21,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/Customer.java,flight.reservation.Customer,class,9,16,7,9,8,1,0,15,4,0.5833333,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,1,38,4,0,0,0,0,0,0,9,0,7,0,0,0,1,25,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/HelicopterAdapter.java,flight.reservation.plane.HelicopterAdapter,class,2,3,1,2,4,1,0,3,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/payment/PayPalPayment.java,flight.reservation.payment.PayPalPayment,class,1,1,0,1,5,1,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,15,1,0,2,0,0,3,0,2,1,2,1,0,0,0,19,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,class,1,4,3,1,8,1,0,0,8,0.65,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,3,0,0,37,5,0,0,0,0,7,0,9,0,5,0,0,0,0,14,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDroneAdapter.java,flight.reservation.plane.PassengerDroneAdapter,class,2,3,1,2,4,1,0,3,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Aircraft.java,flight.reservation.plane.Aircraft,interface,0,7,7,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,class,3,9,6,3,10,1,1,8,0,0.53125,0.0,0.0,8,0,6,2,0,0,6,0,0,0,4,0,0,3,1,0,0,0,1,37,6,0,0,0,0,4,0,5,1,6,1,0,0,1,27,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrder.java,flight.reservation.order.FlightOrder,class,5,13,8,5,9,2,0,8,11,0.72222227,0.0,0.0,6,1,5,1,0,0,5,0,0,0,3,1,0,2,0,1,2,0,1,33,4,1,0,0,0,2,0,4,0,4,1,0,0,0,28,1,0
