file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/Runner.java,Runner,class,6,6,0,6,1,1,0,5,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,0,0,4,0,0,3,8,0,0,0,0,0,30,24,3,0,4,0,0,0,0,20,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,class,7,11,4,7,17,2,0,5,15,0.6363637,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,2,0,0,61,10,0,0,0,3,2,4,7,1,3,1,0,0,0,36,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/Customer.java,flight.reservation.Customer,class,5,8,3,5,12,1,0,21,12,0.6296297,0.0,0.0,9,0,8,1,0,0,8,0,0,0,3,0,0,3,0,0,0,0,3,57,7,0,0,1,0,1,0,12,0,9,2,0,0,3,31,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Helicopter.java,flight.reservation.plane.Helicopter,class,0,3,3,0,5,1,0,2,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,22,2,0,0,0,0,3,2,3,0,2,1,0,0,0,13,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,class,1,4,3,1,8,1,0,0,8,0.65,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,3,0,0,37,5,0,0,0,0,7,0,9,0,5,0,0,0,0,14,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDrone.java,flight.reservation.plane.PassengerDrone,class,0,3,3,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,11,0,0,0,0,0,2,0,1,0,1,1,0,0,0,9,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Schedule.java,flight.reservation.flight.Schedule,class,2,3,1,2,13,1,0,12,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,31,2,1,5,0,1,0,0,3,0,4,2,0,0,1,17,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerPlane.java,flight.reservation.plane.PassengerPlane,class,0,3,3,0,5,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,28,0,0,0,0,0,5,8,9,0,3,1,0,0,0,12,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/payment/CreditCard.java,flight.reservation.payment.CreditCard,class,1,3,2,1,7,1,0,5,0,0.56000006,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,1,26,2,0,0,0,0,1,2,6,0,5,0,0,0,0,16,1,0
/media/dhanush/Partition/MTech/4th_Semester/CS6.401_Software_Engineering/Take_Home_Activities/A2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,class,5,10,5,5,13,1,1,10,0,0.53125,0.0,0.0,8,0,6,2,0,0,6,0,0,0,4,0,0,3,1,0,0,0,2,52,7,0,0,0,2,6,0,7,1,6,2,0,0,1,32,1,0
