Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
Reservation-System-Starter,flight.reservation,Airport,5,0,8,8,37,8,0,0,0.25,6,0
Reservation-System-Starter,flight.reservation,Passenger,1,0,2,2,9,2,0,0,0.0,4,0
Reservation-System-Starter,flight.reservation,Customer,3,0,9,8,57,10,0,0,0.0,3,1
Reservation-System-Starter,flight.reservation,ScenarioTest,6,0,15,9,123,16,0,0,0.0,0,9
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,0,0,7,4,58,8,0,0,-1.0,0,4
Reservation-System-Starter,flight.reservation,NoHelicoptersInFrankfurt,0,0,2,1,9,2,0,0,-1.0,0,0
Reservation-System-Starter,flight.reservation,FlightIsPossible,0,0,4,2,44,5,0,0,-1.0,0,4
Reservation-System-Starter,flight.reservation,H1FullyBooked,0,0,2,1,19,3,0,0,-1.0,0,2
Reservation-System-Starter,flight.reservation,H1Empty,0,0,1,0,16,1,0,0,-1.0,0,2
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,1,0,7,4,54,7,0,0,0.0,0,4
Reservation-System-Starter,flight.reservation,CreditCardLimitReached,0,0,2,1,12,2,0,0,-1.0,0,2
Reservation-System-Starter,flight.reservation,CreditCardNotValid,0,0,2,1,11,2,0,0,-1.0,0,2
Reservation-System-Starter,flight.reservation,CreditCardValid,0,0,2,1,19,2,0,0,-1.0,0,2
Reservation-System-Starter,flight.reservation,ScheduleTest,5,0,17,1,105,18,0,0,0.0,0,6
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,2,0,9,0,43,9,0,0,0.7777777777777778,0,5
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,2,0,5,0,28,5,0,0,0.6,0,5
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,2,0,7,0,56,8,0,0,0.2857142857142857,0,2
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,0,0,2,0,15,2,0,0,-1.0,0,1
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,0,0,1,0,11,1,0,0,-1.0,0,1
Reservation-System-Starter,flight.reservation,AFlightIsSearched,0,0,2,0,14,2,0,0,-1.0,0,1
Reservation-System-Starter,flight.reservation,TestUtil,0,0,1,1,8,1,0,0,-1.0,10,0
Reservation-System-Starter,flight.reservation.order,FlightOrder,2,0,10,8,86,19,0,1,0.3,9,3
Reservation-System-Starter,flight.reservation.order,Order,5,0,10,10,37,10,1,0,0.5,0,1
Reservation-System-Starter,flight.reservation.payment,CreditCard,5,0,5,5,29,5,0,0,0.0,3,0
Reservation-System-Starter,flight.reservation.payment,Paypal,1,1,0,0,7,0,0,0,-1.0,1,0
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,3,3,1,1,28,5,0,0,0.0,3,0
Reservation-System-Starter,flight.reservation.plane,PassengerDrone,1,0,1,1,11,2,0,0,0.0,0,0
Reservation-System-Starter,flight.reservation.plane,Helicopter,2,0,3,3,22,5,0,0,0.0,0,0
Reservation-System-Starter,flight.reservation.flight,Schedule,1,0,7,7,31,9,0,0,0.0,3,2
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,3,0,11,11,61,17,0,1,0.18181818181818182,13,1
Reservation-System-Starter,flight.reservation.flight,Flight,4,0,8,6,52,12,1,0,0.0,7,1
Reservation-System-Starter,(default package),Runner,4,0,1,1,8,1,0,0,0.0,0,1
Reservation-System-Starter,(default package),MavenWrapperDownloader,5,0,3,1,84,8,0,0,1.0,0,0
